"check","status","detail"
"HRIC package functions available",TRUE,"Required exports available: HRIC, SHalpha, SHgamma, SHbeta"
"Additive diversity partition",TRUE,"max abs(gamma - mean_alpha - beta) = 0.00e+00"
"turnover definition",TRUE,"max abs(turnover - (gamma - alpha)) = 0.00e+00"
"Figure 1 regional map organization",TRUE,"Figure 1 is generated as separate Arctic Ocean and North Atlantic Ocean maps with basin-colored ocean backgrounds and cross-shaped sample marks; the North Atlantic map includes a manually anchored schematic circulation overlay."
"Figure 2 and Figure 4 sample order",TRUE,"Figure 2 samples are sorted from smallest to largest turnover, relabeled S1...SN, and Figure 4 uses the same order."
"No legacy all-panel exports",TRUE,"Legacy all-panel Figure 2, Figure 3, and old Figure 4 files are not written; six covariate-specific Figure 4 ocean-region plates are written separately."
"Figure 3 panel count",TRUE,"12 Spearman tests for 2 panels x 6 covariates"
"Figure 4 taxon grouping",TRUE,"Each Figure 4 panel-covariate version uses the top 19 aggregated taxa plus Others in the stacked plot."
"Figure 4 LM differential models",TRUE,"Figure 4 differential marking uses univariable lm(HRIC taxon coordinate ~ covariate), one covariate at a time, with BH-adjusted q values; no low/high median split is used."
"Figure 4 covariate-specific exports",TRUE,"Saved 6 covariate-specific Figure 4 ocean-region plates plus separate regional Figure 4 files. Integrated figure uses Nitrate."
"Integrated figure export",TRUE,"A single integrated ocean-region figure is exported in PDF, PNG, and TIFF formats."
